stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GBRTWOOD-1000292-RPL-1-1,,RPL-1,,51.6136,0.29959,3,910GBRTWOOD,L#-1,
910GBRTWOOD-1000292-RPL-2-2,,RPL-2,,51.61362,0.29944,3,910GBRTWOOD,L#-1,
910GBRTWOOD-1000292-RPL-4-4,,RPL-4,,51.6136,0.29957,3,910GBRTWOOD,L#-1,
910GBRTWOOD-Plat01-WB-elizabeth,,Westbound Platform 1,,,,0,910GBRTWOOD,,1
910GBRTWOOD-Plat02-EB-elizabeth,,Eastbound Platform 2,,,,0,910GBRTWOOD,,2
910GBRTWOOD-Plat03-WB-elizabeth,,Westbound Platform 3,,,,0,910GBRTWOOD,,3
910GBRTWOOD-Plat04-EB-elizabeth,,Eastbound Platform 4,,,,0,910GBRTWOOD,,4
910GBRUCGRV,910GBRUCGRV,Bruce Grove,,,,1,,,
910GBRUCGRV-Outside,,Outside Bruce Grove,,,,3,910GBRUCGRV,,
910GBRUCGRV-1001040-Bus 1-1,,Bus 1,,51.5936,-0.06991,3,910GBRUCGRV,L#0,
910GBRUCGRV-1001040-Bus 2-5,,Bus 2,,51.59463,-0.07046,3,910GBRUCGRV,L#0,
910GBRUCGRV-1001040-Ent-N-7,,Ent-N,,51.59419,-0.07007,3,910GBRUCGRV,L#0,
910GBRUCGRV-1001040-Ent-S-3,,Ent-S,,51.59411,-0.06983,3,910GBRUCGRV,L#0,
910GBRUCGRV-1001040-RLY-4,,RLY,,51.59385,-0.06994,3,910GBRUCGRV,L#0,
910GBRUCGRV-1001040-RPL-N-2,,RPL-N,,51.59351,-0.07017,3,910GBRUCGRV,L#1,
910GBRUCGRV-1001040-RPL-S-6,,RPL-S,,51.59348,-0.07005,3,910GBRUCGRV,L#1,
910GBRUCGRV-Plat01-SB-london-overground,,Southbound Platform 1,,,,0,910GBRUCGRV,,1
910GBRUCGRV-Plat02-NB-london-overground,,Northbound Platform 2,,,,0,910GBRUCGRV,,2
910GBTHNLGR,910GBTHNLGR,Bethnal Green,,,,1,,,
910GBTHNLGR-Outside,,Outside Bethnal Green,,,,3,910GBTHNLGR,,
910GBTHNLGR-1001023-Entr-2,,Entr,,51.52389,-0.05948,3,910GBTHNLGR,L#0,
910GBTHNLGR-1001023-RLY-3,,RLY,,51.52387,-0.05967,3,910GBTHNLGR,L#0,
910GBTHNLGR-1001023-RPL-N-1,,RPL-N,,51.52384,-0.05992,3,910GBTHNLGR,L#1,
910GBTHNLGR-1001023-RPL-S-4,,RPL-S,,51.52372,-0.05989,3,910GBTHNLGR,L#1,
910GBTHNLGR-Plat01-WB-london-overground,,Westbound Platform 1,,,,0,910GBTHNLGR,,1
910GBTHNLGR-Plat02-EB-london-overground,,Eastbound Platform 2,,,,0,910GBTHNLGR,,2
910GCAMHTH,910GCAMHTH,Cambridge Heath,,,,1,,,
910GCAMHTH-Outside,,Outside Cambridge Heath,,,,3,910GCAMHTH,,
910GCAMHTH-1001044-Bus-1,,Bus,,51.53253,-0.05759,3,910GCAMHTH,L#0,
