UniqueId,StationUniqueId,AreaName,AreaId,Level,Lat,Lon,FriendlyName
910GCRLN-1001058-RPL-E-2,910GCRLN,RPL-E,2,-1,51.48686,0.03083,RPL-E
910GCRLN-1001058-RPL-W-3,910GCRLN,RPL-W,3,-1,51.48671,0.03089,RPL-W
910GCROUCHH-1001077-Bus-3,910GCROUCHH,Bus,3,0,51.57111,-0.11719,Bus
910GCROUCHH-1001077-EntrE-5,910GCROUCHH,EntrE,5,0,51.57141,-0.11769,EntrE
910GCROUCHH-1001077-EntrW-2,910GCROUCHH,EntrW,2,0,51.57116,-0.11714,EntrW
910GCROUCHH-1001077-RLY-6,910GCROUCHH,RLY,6,0,51.5712,-0.1174,RLY
910GCROUCHH-1001077-RPL-E-4,910GCROUCHH,RPL-E,4,-1,51.5717,-0.1166,RPL-E
910GCROUCHH-1001077-RPL-W-1,910GCROUCHH,RPL-W,1,-1,51.57159,-0.11647,RPL-W
910GCRPNDPK-1001049-Entr-2,910GCRPNDPK,Entr,2,0,51.62877,-0.38582,Entr
910GCRPNDPK-1001049-RLY-4,910GCRPNDPK,RLY,4,1,51.62836,-0.38587,RLY
910GCRPNDPK-1001049-RPL-1,910GCRPNDPK,RPL,1,1,51.62808,-0.38554,RPL
910GCRSHLTN-1001051-BusNS-1,910GCRSHLTN,BusNS,1,0,51.36841,-0.16501,BusNS
910GCRSHLTN-1001051-BusW-4,910GCRSHLTN,BusW,4,0,51.36858,-0.16756,BusW
910GCRSHLTN-1001051-Entr-3,910GCRSHLTN,Entr,3,0,51.36821,-0.16705,Entr
910GCRSHLTN-1001051-FOT-7,910GCRSHLTN,FOT,7,2,51.36836,-0.16708,FOT
910GCRSHLTN-1001051-RPLE-5,910GCRSHLTN,RPLE,5,1,51.36857,-0.16691,RPLE
910GCRSHLTN-1001051-RPLW-2,910GCRSHLTN,RPLW,2,1,51.36853,-0.1669,RPLW
910GCRSHLTN-1001051-SUB-6,910GCRSHLTN,SUB,6,-1,51.36849,-0.16716,SUB
910GCTMSLNK-1001067-Bus-1,910GCTMSLNK,Bus,1,0,51.51669,-0.10342,Bus
910GCTMSLNK-1001067-HOLBO-3,910GCTMSLNK,HOLBO,3,0,51.51651,-0.10325,HOLBO
910GCTMSLNK-1001067-LUDHI-4,910GCTMSLNK,LUDHI,4,0,51.51407,-0.10402,LUDHI
910GCTMSLNK-1001067-RLY-8,910GCTMSLNK,RLY,8,0,51.51423,-0.10375,RLY
910GCTMSLNK-1001067-RPL-N-2,910GCTMSLNK,RPL-N,2,-2,51.51396,-0.10386,RPL-N
910GCTMSLNK-1001067-RPL-S-7,910GCTMSLNK,RPL-S,7,-2,51.51402,-0.10357,RPL-S
910GCTMSLNK-1001067-UGHV-5,910GCTMSLNK,UGHV,5,-1,51.51672,-0.10337,UGHV
910GCTMSLNK-1001067-UGLH-6,910GCTMSLNK,UGLH,6,0,51.51408,-0.10394,UGLH
910GDALS-1001568-BUS D-7,910GDALS,BUS D,7,0,51.54489,-0.07592,BUS D
910GDALS-1001568-BusG-3,910GDALS,BusG,3,0,51.54624,-0.07324,BusG
910GDALS-1001568-BusL-4,910GDALS,BusL,4,0,51.54682,-0.07567,BusL
910GDALS-1001568-EntrD-1,910GDALS,EntrD,1,0,51.54618,-0.07526,EntrD
910GDALS-1001568-EntrR-5,910GDALS,EntrR,5,0,51.54541,-0.07527,EntrR
910GDALS-1001568-RLY-6,910GDALS,RLY,6,0,51.54541,-0.07527,RLY
910GDALS-1001568-RPL-2,910GDALS,RPL,2,-1,51.54609,-0.07517,RPL
910GDALSKLD-1001081-Bus-3,910GDALSKLD,Bus,3,0,51.54842,-0.07546,Bus
910GDALSKLD-1001081-Entr-2,910GDALSKLD,Entr,2,0,51.54822,-0.0757,Entr
910GDALSKLD-1001081-RLY-5,910GDALSKLD,RLY,5,0,51.54822,-0.07587,RLY
910GDALSKLD-1001081-RPL-E-1,910GDALSKLD,RPL-E,1,-1,51.54831,-0.07636,RPL-E
910GDALSKLD-1001081-RPL-W-4,910GDALSKLD,RPL-W,4,-1,51.54822,-0.07636,RPL-W
910GDARTFD-1001082-Bus-6,910GDARTFD,Bus,6,0,51.4466,0.21829,Bus
910GDARTFD-1001082-Entr-4,910GDARTFD,Entr,4,0,51.44747,0.2181,Entr
910GDARTFD-1001082-FBdg-5,910GDARTFD,FBdg,5,1,51.44772,0.21854,FBdg
910GDARTFD-1001082-RLY-3,910GDARTFD,RLY,3,0,51.44777,0.2184,RLY
910GDARTFD-1001082-RPL1-1,910GDARTFD,RPL1,1,0,51.44773,0.21821,RPL1
910GDARTFD-1001082-RPL2-2,910GDARTFD,RPL2,2,0,51.44788,0.21839,RPL2
910GDENMRKH-1001083-Bus-1,910GDENMRKH,Bus,1,0,51.46789,-0.08922,Bus
910GDENMRKH-1001083-Entr-3,910GDENMRKH,Entr,3,0,51.46817,-0.08985,Entr
910GDENMRKH-1001083-RLY-6,910GDENMRKH,RLY,6,0,51.46825,-0.08968,RLY
910GDENMRKH-1001083-RPL1-2,910GDENMRKH,RPL1,2,-1,51.46825,-0.08929,RPL1
910GDENMRKH-1001083-RPL23-4,910GDENMRKH,RPL23,4,-1,51.46823,-0.08927,RPL23
910GDENMRKH-1001083-RPL4-5,910GDENMRKH,RPL4,5,-1,51.46828,-0.0893,RPL4
910GDEPTFD-1001084-Entr-4,910GDEPTFD,Entr,4,0,51.47902,-0.0261,Entr
910GDEPTFD-1001084-RLY-3,910GDEPTFD,RLY,3,0,51.4789,-0.02617,RLY
910GDEPTFD-1001084-RPL-E-2,910GDEPTFD,RPL-E,2,1,51.47898,-0.02657,RPL-E
910GDEPTFD-1001084-RPL-W-1,910GDEPTFD,RPL-W,1,1,51.47891,-0.0266,RPL-W
910GDEPTFD-1001084-UP-5,910GDEPTFD,UP,5,0,51.47895,-0.02641,UP
910GEDMNGRN-1001092-Bus-1,910GEDMNGRN,Bus,1,0,51.6252,-0.06204,Bus
