StationUniqueId,Id,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,Type,IsManagedByTfL
HUBBFR,1,FALSE,FALSE,FALSE,Located in National Rail station,TRUE,Male,FALSE
HUBBFR,2,FALSE,TRUE,FALSE,Located in National Rail station,TRUE,Female,FALSE
HUBBFR,3,TRUE,FALSE,FALSE,Located in National Rail station,TRUE,Unisex,FALSE
HUBBKG,1,FALSE,FALSE,TRUE,"Located in walkway, inside gateline",FALSE,Male,FALSE
HUBBKG,2,FALSE,TRUE,TRUE,"Located in walkway, inside gateline",FALSE,Female,FALSE
HUBBKG,3,TRUE,FALSE,TRUE,"Located in walkway, inside gateline",FALSE,Unisex,FALSE
HUBCAW,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
HUBCAW,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
HUBCAW,3,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
HUBCFO,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
HUBCFO,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
HUBCHX,1,FALSE,FALSE,FALSE,Located in National Rail station,FALSE,Male,FALSE
HUBCHX,2,FALSE,FALSE,FALSE,Located in National Rail station,FALSE,Female,FALSE
