PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GHGHMSPK-Plat01-SB-london-overground,910GHGHMSPK,london-overground,Liverpool Street,,,,,,,False,,TRUE,Use the Wilton Place entrance for northbound platform. Step-free platform interchange requires a 350m journey via street,
910GHGHMSPK-Plat02-NB-london-overground,910GHGHMSPK,london-overground,Chingford,,,,,,,False,,TRUE,Use the Station Approach entrance for southbound platform. Step-free platform interchange requires a 350m journey via street,
910GHKBG-Plat01-EB-thameslink,910GHKBG,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHKBG-Plat02-WB-thameslink,910GHKBG,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHMPSTDH-Plat01-WB-london-overground,910GHMPSTDH,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GHMPSTDH-Plat02-EB-london-overground,910GHMPSTDH,london-overground,Gospel Oak,,,,,,,False,,TRUE,,
910GHOMRTON-Plat01-WB-london-overground,910GHOMRTON,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GHOMRTON-Plat02-EB-london-overground,910GHOMRTON,london-overground,Stratford,,,,,,,False,,TRUE,,
910GHONROPK-Plat01-NB-london-overground,910GHONROPK,london-overground,Highbury & Islington,,,,,,,False,,TRUE,,
910GHONROPK-Plat02-SB-london-overground,910GHONROPK,london-overground,Crystal Palace and West Croydon,,,,,,,False,,TRUE,,
910GHOXTON-Plat01-NB-london-overground,910GHOXTON,london-overground,Highbury & Islington,0,85,,0,50,,TRUE,,FALSE,,
910GHOXTON-Plat02-SB-london-overground,910GHOXTON,london-overground,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0,85,,0,50,,TRUE,,FALSE,,
910GHRGYGL-Plat01-WB-london-overground,910GHRGYGL,london-overground,Gospel Oak,,,,,,,False,,TRUE,,
910GHRGYGL-Plat02-EB-london-overground,910GHRGYGL,london-overground,Barking,,,,,,,False,,TRUE,,
910GHRLDWOD-Plat01-WB-elizabeth,910GHRLDWOD,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
