pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
910GCHESHNT-1001532-EntrW-6-910GCHESHNT-1001532-RPL-S-4-same_level,910GCHESHNT-1001532-EntrW-6,910GCHESHNT-1001532-RPL-S-4,1,1
910GCHESHNT-1001532-RPL-N-1-910GCHESHNT-Plat02-NB-national-rail-same_level,910GCHESHNT-1001532-RPL-N-1,910GCHESHNT-Plat02-NB-national-rail,1,1
910GCHESHNT-1001532-RPL-N-1-910GCHESHNT-Plat03-SB-london-overground-same_level,910GCHESHNT-1001532-RPL-N-1,910GCHESHNT-Plat03-SB-london-overground,1,1
910GCHESHNT-1001532-RPL-S-4-910GCHESHNT-Plat01-SB-national-rail-same_level,910GCHESHNT-1001532-RPL-S-4,910GCHESHNT-Plat01-SB-national-rail,1,1
910GCHESHNT-Outside-910GCHESHNT-1001532-EntrM-2-same_level,910GCHESHNT-Outside,910GCHESHNT-1001532-EntrM-2,1,1
910GCHESHNT-Outside-910GCHESHNT-1001532-EntrW-6-same_level,910GCHESHNT-Outside,910GCHESHNT-1001532-EntrW-6,1,1
910GCHINGFD-1001063-Bus-1-910GCHINGFD-1001063-Entr-3-same_level,910GCHINGFD-1001063-Bus-1,910GCHINGFD-1001063-Entr-3,1,1
910GCHINGFD-1001063-Entr-3-910GCHINGFD-1001063-RLY-4-same_level,910GCHINGFD-1001063-Entr-3,910GCHINGFD-1001063-RLY-4,1,1
910GCHINGFD-1001063-RLY-4-910GCHINGFD-1001063-RPL-2-same_level,910GCHINGFD-1001063-RLY-4,910GCHINGFD-1001063-RPL-2,1,1
910GCHINGFD-Outside-910GCHINGFD-Plat01-SB-london-overground-same_level,910GCHINGFD-Outside,910GCHINGFD-Plat01-SB-london-overground,1,1
910GCHINGFD-Outside-910GCHINGFD-Plat02-SB-london-overground-same_level,910GCHINGFD-Outside,910GCHINGFD-Plat02-SB-london-overground,1,1
910GCHINGFD-Outside-910GCHINGFD-Plat03-SB-london-overground-same_level,910GCHINGFD-Outside,910GCHINGFD-Plat03-SB-london-overground,1,1
910GCHINGFD-Plat01-SB-london-overground-910GCHINGFD-Plat02-SB-london-overground-same_level,910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD-Plat02-SB-london-overground,1,1
910GCHINGFD-Plat01-SB-london-overground-910GCHINGFD-Plat03-SB-london-overground-same_level,910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD-Plat03-SB-london-overground,1,1
910GCHINGFD-Plat02-SB-london-overground-910GCHINGFD-Plat03-SB-london-overground-same_level,910GCHINGFD-Plat02-SB-london-overground,910GCHINGFD-Plat03-SB-london-overground,1,1
910GCLAPTON-1001070-Bus-1-910GCLAPTON-1001070-UPPER-3-same_level,910GCLAPTON-1001070-Bus-1,910GCLAPTON-1001070-UPPER-3,1,1
910GCLDNNRB-1001043-Bus-1-910GCLDNNRB-1001043-Entr-3-same_level,910GCLDNNRB-1001043-Bus-1,910GCLDNNRB-1001043-Entr-3,1,1
910GCLDNNRB-1001043-RLY-4-910GCLDNNRB-1001043-RPL-2-lift-910GCLDNNRB-Lift-2,910GCLDNNRB-1001043-RLY-4,910GCLDNNRB-1001043-RPL-2,5,1
910GCLDNNRB-1001043-RLY-4-910GCLDNNRB-Outside-same_level,910GCLDNNRB-1001043-RLY-4,910GCLDNNRB-Outside,1,1
910GCLDNNRB-1001043-RPL-2-910GCLDNNRB-Plat02-WB-london-overground-same_level,910GCLDNNRB-1001043-RPL-2,910GCLDNNRB-Plat02-WB-london-overground,1,1
